OBJECTID,District Name,District ID,School Board Image URL,Website_2,School Board Image URL_2,SHAPE.STArea(),SHAPE.STLength()
11,District 2,2,https://www.pgcps.org/globalassets/offices/board-of-education/images/pd-jonathan-briggs.jpg,https://www.pgcps.org/offices/board-of-education/members/jonathan-briggs,https://www.pgcps.org/globalassets/offices/board-of-education/images/pd-walter-fields.jpg,"644,330,856.80418837","144,006.40904694618"
10,District 1,1,https://www.pgcps.org/globalassets/offices/board-of-education/images/,https://www.pgcps.org/offices/board-of-education/members/dr.-tiffini-andorful-district-1,https://www.pgcps.org/globalassets/offices/board-of-education/images/pd-walter-fields.jpg,"1,497,095,880.9540625","283,776.48767706787"
15,District 6,6,https://www.pgcps.org/globalassets/offices/board-of-education/images/pd-branndon-Jackson.jpg,https://www.pgcps.org/offices/board-of-education/members/branndon-jackson,https://www.pgcps.org/globalassets/offices/board-of-education/images/pd-walter-fields.jpg,"801,632,802.29705381","182,931.76348070311"
17,District 8,8,https://www.pgcps.org/offices/board-of-education/members/madeline-lasalle-frazier,https://www.pgcps.org/offices/board-of-education/members/zakyia-goins-mccants-m.s.-district-8,https://www.pgcps.org/globalassets/offices/board-of-education/images/pd-walter-fields.jpg,"1,000,618,366.9122431","242,312.16106441806"
12,District 3,3,https://www.pgcps.org/globalassets/offices/board-of-education/images/pd-pamela-boozer-strother.jpg,https://www.pgcps.org/offices/board-of-education/members/pamela-boozer-strother,https://www.pgcps.org/globalassets/offices/board-of-education/images/pd-walter-fields.jpg,"323,947,517.10058618","106,661.50403584291"
13,District 4,4,https://www.pgcps.org/globalassets/offices/board-of-education/images/,https://www.pgcps.org/offices/board-of-education/members/aimee-olivo-district-4,https://www.pgcps.org/globalassets/offices/board-of-education/images/pd-walter-fields.jpg,"619,358,922.5655905","161,729.26235159245"
14,District 5,5,https://www.pgcps.org/globalassets/offices/board-of-education/images/pd-zipporah-miller.jpg,https://www.pgcps.org/offices/board-of-education/members/robin-brown-district-5,https://www.pgcps.org/globalassets/offices/board-of-education/images/pd-walter-fields.jpg,"1,950,300,428.5230179","257,558.47659403796"
18,District 9,9,https://www.pgcps.org/globalassets/offices/board-of-education/,https://www.pgcps.org/offices/board-of-education/members,https://www.pgcps.org/globalassets/offices/board-of-education/images/pd-walter-fields.jpg,"5,685,940,469.656826","615,878.24737520318"
16,District 7,7,https://www.pgcps.org/globalassets/offices/board-of-education/images/,https://www.pgcps.org/offices/board-of-education/members/dr.-phelton-c.-moss-district-7,https://www.pgcps.org/globalassets/offices/board-of-education/images/pd-walter-fields.jpg,"1,000,459,894.1542767","201,913.77300408168"
