idx,text
1,FOOD PANTRIES & RESOURCESIN CAROLINE COUNTY
2,CAROLINE BETTER TOGETHER
3,BLESSING BOX LOCATIONS
4,"Blessing Boxes are small outdoor pantries where neighbors can help each other by providing free anonymous access tonon-perishable food and other essential items to anyone in need. Take if You Need, Give If You Can"
5,Martin's House and Barn
6,14374 Benedictine Lane
7,"Tues, Thurs, Fri 8:30 - 11:30 am"
8,"Wednesday, 6 - 7:30 pm"
9,410-634-2537
10,Ridgely United Methodist Church
11,109 Central Avenue
12,"Monthly on 2nd & 4th Wed., 2 - 4 pm"
13,Spirit and Mind Incorporated
14,Food Boxes only by appointment as needed.
15,302-331-1010
16,Ridgely
17,Preston
18,Aaron’s Place Mobile
19,at Preston Lions Club
20,114 Williamson Street
21,"4th Wed, 10 am"
22,"February, April, June, August, October, December"
23,LNT Seafood
24,233 Main Street
25,"Everyday, 9 am - 5 pm"
26,410-829-9393
27,Denton
28,Aaron’s Place
29,100 N. 6 Street
30,t h
31,"Every Tuesday, 11:30 am to 4 pm"
32,"Every Wednesday, 9:30 am to 3 pm"
33,"3rd Thursday, 11 am"
34,"January, March, May, July, September, November"
35,Soup Kitchen
36,"Tuesday, 11:00 am"
37,410-479-3298
38,Samaritan House
39,12 N. 5th Street
40,"Wednesday, Thursday, Friday 10 am - 2 pm"
41,Saturday 9 am - Noon
42,Call for Required Information
43,410-479-1251
44,Thinking of You Pantry
45,Living Waters Assembly
46,9058 Double Hills Road
47,"Every Wednesday, 7 pm"
48,If you are in need of immediatate food
49,assistance please reach out directly to
50,these organizations. Many provide
51,emergency food boxes as well as
52,scheduled pantry events.Need Immediate
53,Food Assistance?
54,Marydel
55,Aarons Place Mobile at
56,Iglesia de Dios El Buen Camino
57,18161 Henderson Road
58,"4th Thursdays, 11 am, February, April, June,"
59,"August, October, December"
60,Goldsboro
61,Giving Grace
62,"Goldsboro Fire Hall, 700 Old Line Road"
63,"2nd Saturday of each month, 7 am —"
64,until food is gone
65,Sponsored by NCCA
66,410-829-3158
67,Federalsburg
68,Aaron’s Place at
69,Community Civic League
70,3439 Laurel Grove Road
71,1st and 3rd Wednesday of Every Month
72,4 pm to 6 pm
73,Mobile Pantry
74,"4th Thursday, 11 am"
75,"January, March, May, July, September, November"
76,410-479-0292
77,Aaron’s Place at Union Methodist Church
78,301 N Main Street
79,"Sundays after service, 11:30 am to 1 pm"
80,410-754-9210
81,Aaron’s Place - Federalsburg Elementary
82,Judy Center Early Learning Hub
83,323 S. University Avenue
84,"Monday - Thursday, 9 am-3 pm"
85,Following CCPS calendar
86,410-479-3050
87,Greensboro
88,Aaron’s Place in Greensboro
89,111 S. Main Street
90,"Monthly, 1st and 3rd Thursday, 10 am - 1 pm"
91,410-479-0292
92,St Paul United Methodist Church
93,300 Sunset Avenue
94,"Saturdays, 10 am - Noon"
95,Food For Learning
96,Caroline County Public Schools
97,Program Info & Request Form
98,410-479-3261
99,Weekend Backpack Program
100,SCAN HERE FOR
101,MORE RESOURCES
102,Look for more community resources andupcoming events by scanning the QR Code orvisiting carolinebettertogether.org
103,R e s o u r c e L is t C o m p ile d b y C a r o lin e H u m a n S e r v ic e s C o u n c il. c a r o lin e h s c .o r g
104,C o r d o v a
105,Talbot County
106,Cordova Firehouse
107,11864 Kittys Corner Rd.
108,Federalsburg
109,Park Lane Church of God –
110,Parking Lot
111,Morris Ave. between
112,Main and Park
113,Ridgely UMC
114,107 Central Ave.
115,New Beginnings GMC
116,12020 Central Ave.Ridgely
117,St. Luke's GMC
118,100 S. Fifth Ave.
119,Behind the church
120,His Hope Office
121,105 Gay St.
122,Thawley's Chapel
123,10030 Reed Rd.
124,Denton
125,Goldsboro
126,T r i n i t y U M C
127,302 Church Ln.
128,Marydel
129,Community Hall
130,130 Halltown Rd.
131,Greater Impact Church
132,13699 Greensboro Rd.
133,Near the Community Park
134,Entrance
135,217 E Sunset Ave.
136,Greensboro Preston
137,Bethesda GMC
138,155 Main St.
139,Lions Club
140,Community Center
141,114 Williamson St.
142,Bethlehem Wesleyan
143,Church
144,5330 Bethlehem Rd.
145,L a s t U p d a t e d 0 2 .1 0 .2 0 2 6
146,Shelter providers also have emergency food resources available.
